date,mil_val_delivered,hum_aid_delivered,total
2/25/2022,0,0,0
2/27/2022,0,54000000,54000000
3/12/2022,0,0,0
3/15/2022,0,10055000000,10055000000
3/16/2022,728656580,0,728656580
3/31/2022,0,178354690,178354690
4/1/2022,3600000,6300000000,6303600000
4/5/2022,755200000,0,755200000
4/13/2022,1410744580,0,1410744580
4/21/2022,417258953,0,417258953
4/25/2022,0,1547000000,1547000000
5/6/2022,121666664,0,121666664
5/10/2022,310822721,7502000000,7812822721
5/19/2022,126026664,0,126026664
5/27/2022,0,386831196,386831196
6/1/2022,543072106,0,543072106
6/15/2022,114440000,0,114440000
6/17/2022,29640000,0,29640000
6/23/2022,812855554,0,812855554
6/24/2022,0,225455382,225455382
7/1/2022,100000000,0,100000000
7/9/2022,103865234,0,103865234
7/22/2022,93703324,0,93703324
7/27/2022,0,390009757,390009757
8/1/2022,285000000,0,285000000
8/8/2022,571432466,0,571432466
8/19/2022,527432766,0,527432766
8/24/2022,300000000,0,300000000
8/29/2022,0,11815444,11815444
9/8/2022,553714212,0,553714212
9/15/2022,252440000,0,252440000
9/28/2022,194915756,0,194915756
9/30/2022,0,11235752523,11235752523
10/4/2022,143025252,0,143025252
10/14/2022,0,0,0
10/28/2022,0,0,0
11/4/2022,0,0,0
11/10/2022,18500000,0,18500000
11/23/2022,0,0,0
12/6/2022,0,38949300000,38949300000
12/9/2022,0,0,0
12/21/2022,0,0,0
1/6/2023,93060000,0,93060000
1/19/2023,242713390,0,242713390
1/25/2023,0,0,0
2/3/2023,0,0,0
2/20/2023,0,0,0
2/24/2023,0,0,0
3/3/2023,0,0,0
3/20/2023,0,0,0
4/4/2023,0,0,0
4/19/2023,0,0,0
5/3/2023,196460000,0,196460000
5/9/2023,0,0,0
5/21/2023,0,0,0
5/31/2023,0,0,0
6/9/2023,0,0,0
6/13/2023,0,0,0
6/27/2023,0,0,0
7/7/2023,0,0,0
7/19/2023,0,0,0
